Site,Season,Type,Loc,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bear Lake,Summer,Depletion,4,55912.66,90764.41,103031.38,77057.08,98546.09,92482.34,67628.73,114302.17,64864.66,51418.13,94749.27,77660.48,94433.73,95680.62,84185.19,95171.71,83591.32,37191.91,76359.1,128644.34
Bear Lake,Summer,Flow,4,122245.6044,181647.1626,174498.4476,242764.6107,221552.658,155671.449,216724.8462,319243.17,272701.9617,273274.0572,239034.1911,239556.5133,283791.8892,262505.574,280092.0078,245195.967,264197.073,265951.6314,266599.8741,222703.1946
Bear Lake,Winter,Flow,4,26138.7162,23483.8758,29701.5723,33694.3428,17277.879,30785.0835,36575.8401,38056.3479,185285.7693,34028.6766,26431.2087,29842.167,39908.8665,67439.0538,296652.834,19321.5588,121736.1717,27885.5409,20749.5171,17848.1898
Cache Valley-UT,Summer,Depletion,6,143577.69,129492.2,146824.24,155598.8,144454.25,115777.12,137101.17,107323.34,162142.07,144093.19,119941.55,123412.18,134216.21,130577.08,165165.53,126893.72,161812.95,172385.47,146709.51,135573.19
Cache Valley-UT,Summer,Flow,6,90212.2224,713568.0741,607040.5209,128282.253,255785.187,530339.469,239841.867,1232103.339,153827.259,124071.5508,177758.3013,194282.442,322468.5195,877272.8544,249394.1763,520213.1209,266614.1517,64962.6834,133504.8801,859209.7074
Cache Valley-UT,Winter,Flow,6,213485.814,401682.429,495637.3656,451884.057,291265.023,391097.175,341783.931,464878.656,660029.652,303710.331,286096.9284,305462.7081,327269.9574,810645.0459,750059.835,372280.5673,534057.832,287129.4765,265801.32,310684.3437
Cache Valley-UT_L,Summer,Flow,NA,106765.1166,298118.0727,317394.8157,118327.7913,184946.6763,243545.1195,145043.5605,503111.2926,122392.5447,92566.8366,144381.4368,105350.2858,171240.3786,401279.2851,153443.9451,241785.6036,156780.5409,65352.04545,99190.2549,365622.7638
Cache Valley-UT_L,Winter,Flow,NA,61496.9943,67266.3345,101568.4668,106274.7207,70729.2474,83630.0505,82890.7881,93848.8461,143636.2254,79539.9147,63673.3368,68594.3496,66592.7094,171997.6863,124585.1478,80479.2618,97683.1749,69094.8588,60844.9839,61207.278
Cokeville,Summer,Depletion,2,119851.54,136354.04,149211.68,144550.87,131607.29,128106.41,101685.45,132186.52,124174.36,89506.33,110416.22,114551.14,134623.94,116182.17,134482.65,123724.71,134945.47,102569.44,144362.25,145976.75
Cokeville,Summer,Flow,2,66799.1397,282987.981,172173.975,88196.7012,180819.855,244773.588,173357.826,649321.452,92505.1653,71572.0224,165534.891,127239.195,186316.5327,471656.55,136290.2019,235876.0653,155778.9276,57520.6827,96773.3745,384717.864
Cokeville,Winter,Flow,2,36869.7207,45482.6829,53110.689,86621.406,42757.6443,58536.177,55343.547,54829.95,107912.877,47518.629,47654.6628,71971.002,54590.007,164358.972,98868.414,51752.334,71986.866,51212.1648,36263.5176,41802.6315
Evanston,Summer,Depletion,1,60641.65,55977.51,52689.79,65005.37,54888.57,46731.04,45317.89,48344.92,66588.98,50319.09,41627.77,55965.31,57715.04,52960.69,64587.1,54644.03,64968.31,64930.01,53013.49,53796.01
Evanston,Summer,Flow,1,48151.206,137232.1269,100885.9182,63238.8615,126843.5865,142974.8354,130366.8818,345655.7385,36024.32814,50526.4434,96740.47653,61036.79949,115310.4188,170967.8153,54292.89411,153193.3931,77183.39682,34021.51797,81899.76402,217338.545
Evanston,Winter,Flow,1,15531.58971,21593.6802,17516.4339,30895.14,12778.76928,14493.1521,11536.1025,24201.06741,42520.4775,8911.82013,17298.5022,33645.9576,14586.98766,44305.35597,30194.7444,10354.09569,22975.87086,4005.52119,13566.91263,12429.95958
LowerID,Summer,Depletion,5,217450.67,181429.61,223903.18,258812.26,263531.08,205898.13,236853.06,204227.79,300374.89,248508.01,213077.98,217762.03,257248.57,226247.88,284929.44,212923.08,239101.44,294890.99,263729.95,257966.9
LowerID,Summer,Flow,5,134980.0338,327782.1663,320111.724,204709.056,215883.261,288518.568,224985.231,543903.189,242978.973,238134.504,215203.092,258466.203,305084.55,484442.934,291021.114,346325.001,287449.731,225086.364,230795.421,445526.559
LowerID,Winter,Flow,5,124827.867,147969.477,203860.332,225453.219,133745.418,162201.468,155318.475,196519.266,386117.862,160672.575,151259.274,162524.697,169036.869,379833.735,514408.047,197112.183,307589.079,176542.524,145577.979,143329.257
SodaSprings,Summer,Flow,NA,149881.089,251004.174,243520.332,NA,NA,NA,NA,NA,NA,NA,277082.607,272095.362,320000.676,338696.4,307977.747,296266.149,298364.163,279006.117,279296.2299,275034.168
SodaSprings,Winter,Flow,NA,49684.065,53166.213,58788.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Fork,Summer,Depletion,3,35349.69,36099.07,39565.49,39403.59,36616.77,33254.67,26001.57,37631.69,40089.96,30703.09,31498.48,32929.72,36857.61,32416.31,36215.88,31948.64,35078.11,34670.44,35163.64,41392.76
Thomas Fork,Summer,Flow,3,56534.3385,245848.374,160383.2553,76536.4629,169828.086,239258.865,158329.0656,667537.29,78958.4991,57428.4732,148768.626,114198.5904,181440.9306,451975.275,127492.4241,220818.7497,143087.7276,47022.4824,81047.9862,361532.628
Thomas Fork,Winter,Flow,3,35268.4482,44609.7663,51302.5896,86710.641,36887.1711,59702.181,54687.174,53218.1676,109997.01,45577.4703,46722.4545,71685.45,52729.953,157095.4413,98800.992,50155.8207,70376.67,49725.3114,40427.0244,40255.0983
Tremonton,Summer,Depletion,7,154775.33,124566.35,145901.19,159193.32,153338.36,111064.4,143043.03,115499.68,168074.58,151928.39,132568.47,119307.22,136462.28,134394.43,159920.42,119033.95,157206.39,167206.97,149249.15,136376.08
Tremonton,Summer,Flow,7,133403.3505,781680.753,658601.892,138888.9234,260079.7701,533922.9483,275916.4047,1200377.322,189483.582,164624.694,206319.252,236079.7194,367026.9261,921416.814,283124.808,554664.93,315118.53,102618.0687,172211.2554,913234.956
Tremonton,Winter,Flow,7,313440.912,412261.734,525613.98,511562.442,309944.883,391095.192,365909.109,465564.774,682548.6,341385.348,315848.274,301136.397,338793.567,887705.814,772495.497,408716.13,563743.104,325660.158,292272.387,325096.986
